sales_date,gross_revenue,total_discount,cogs,net_profit
2020-12-28/2021-01-03,10265000,2053000,3492000,4720000
2021-01-04/2021-01-10,17055000,0,5761000,11294000
2021-01-11/2021-01-17,16240000,0,5678000,10562000
2021-01-18/2021-01-24,13965000,0,4806000,9159000
2021-01-25/2021-01-31,20600000,0,6927000,13673000
2021-02-01/2021-02-07,15475000,996000,5199000,9280000
2021-02-08/2021-02-14,18100000,0,6124000,11976000
2021-02-15/2021-02-21,21815000,0,7345000,14470000
2021-02-22/2021-02-28,21330000,0,7228000,14102000
2021-03-01/2021-03-07,18965000,2627000,6429000,9909000
2021-03-08/2021-03-14,18895000,0,6390000,12505000
2021-03-15/2021-03-21,21970000,0,7780000,14190000
2021-03-22/2021-03-28,18300000,0,6067000,12233000
2021-03-29/2021-04-04,17135000,1148250,5885000,10101750
2021-04-05/2021-04-11,18365000,1090500,6254000,11020500
2021-04-12/2021-04-18,18600000,0,6638000,11962000
2021-04-19/2021-04-25,15970000,0,5561000,10409000
2021-04-26/2021-05-02,14400000,0,5082000,9318000
